Review_Text,Rating,rating_class,clean_text,clues
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
It was an average experience. Neither good nor bad. ,4,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
It was an average experience. Neither good nor bad. ,2,Bad,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
I'm very satisfied with the service I received. Highly recommended. ,4,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I had a bad experience with this healthcare provider. Avoid if possible. ,2,Bad,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
My experience was terrible. I would not recommend this provider. ,3,Neutral,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
My experience was terrible. I would not recommend this provider. ,3,Neutral,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
"The service was okay, but nothing exceptional. ",4,Good,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
"The service was okay, but nothing exceptional. ",4,Good,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
"The service was okay, but nothing exceptional. ",2,Bad,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
I had a bad experience with this healthcare provider. Avoid if possible. ,4,Good,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
"The service was okay, but nothing exceptional. ",1,Bad,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
I had a bad experience with this healthcare provider. Avoid if possible. ,2,Bad,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
The staff was caring and attentive. I couldn't be happier. ,2,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
My experience was terrible. I would not recommend this provider. ,5,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The staff was caring and attentive. I couldn't be happier. ,3,Neutral,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
My experience was terrible. I would not recommend this provider. ,2,Bad,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
I have mixed feelings about my experience. ,3,Neutral,mixed feeling experience,"['mixed', 'feeling', 'experience']"
"The service was okay, but nothing exceptional. ",4,Good,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
The healthcare provider was excellent. I had a great experience. ,1,Bad,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
The staff was caring and attentive. I couldn't be happier. ,3,Neutral,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
The service was disappointing. I won't be coming back. ,2,Bad,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
My experience was terrible. I would not recommend this provider. ,3,Neutral,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The staff was caring and attentive. I couldn't be happier. ,2,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I have mixed feelings about my experience. ,3,Neutral,mixed feeling experience,"['mixed', 'feeling', 'experience']"
The service was disappointing. I won't be coming back. ,2,Bad,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I had a bad experience with this healthcare provider. Avoid if possible. ,4,Good,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
I had a bad experience with this healthcare provider. Avoid if possible. ,2,Bad,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The staff was caring and attentive. I couldn't be happier. ,1,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I'm very satisfied with the service I received. Highly recommended. ,1,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,1,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
"The service was okay, but nothing exceptional. ",4,Good,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
The staff was caring and attentive. I couldn't be happier. ,1,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
The service was disappointing. I won't be coming back. ,5,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
The staff was caring and attentive. I couldn't be happier. ,4,Good,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I have mixed feelings about my experience. ,3,Neutral,mixed feeling experience,"['mixed', 'feeling', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I had a bad experience with this healthcare provider. Avoid if possible. ,1,Bad,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
I have mixed feelings about my experience. ,1,Bad,mixed feeling experience,"['mixed', 'feeling', 'experience']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
The service was disappointing. I won't be coming back. ,5,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I had a bad experience with this healthcare provider. Avoid if possible. ,2,Bad,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
I'm very satisfied with the service I received. Highly recommended. ,4,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
It was an average experience. Neither good nor bad. ,1,Bad,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
The healthcare provider was excellent. I had a great experience. ,4,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
My experience was terrible. I would not recommend this provider. ,5,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
My experience was terrible. I would not recommend this provider. ,4,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
My experience was terrible. I would not recommend this provider. ,4,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The healthcare provider was excellent. I had a great experience. ,4,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
My experience was terrible. I would not recommend this provider. ,5,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The service was disappointing. I won't be coming back. ,4,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
It was an average experience. Neither good nor bad. ,5,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
The staff was caring and attentive. I couldn't be happier. ,4,Good,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
The service was disappointing. I won't be coming back. ,5,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
The service was disappointing. I won't be coming back. ,3,Neutral,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
It was an average experience. Neither good nor bad. ,4,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
The service was disappointing. I won't be coming back. ,3,Neutral,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I had a bad experience with this healthcare provider. Avoid if possible. ,3,Neutral,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
I had a bad experience with this healthcare provider. Avoid if possible. ,5,Good,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The service was disappointing. I won't be coming back. ,2,Bad,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
It was an average experience. Neither good nor bad. ,2,Bad,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
The service was disappointing. I won't be coming back. ,1,Bad,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
The service was disappointing. I won't be coming back. ,2,Bad,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
It was an average experience. Neither good nor bad. ,3,Neutral,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
My experience was terrible. I would not recommend this provider. ,2,Bad,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,1,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The healthcare provider was excellent. I had a great experience. ,3,Neutral,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I have mixed feelings about my experience. ,1,Bad,mixed feeling experience,"['mixed', 'feeling', 'experience']"
My experience was terrible. I would not recommend this provider. ,3,Neutral,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The staff was caring and attentive. I couldn't be happier. ,5,Good,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
"The service was okay, but nothing exceptional. ",1,Bad,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
The service was disappointing. I won't be coming back. ,4,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I have mixed feelings about my experience. ,3,Neutral,mixed feeling experience,"['mixed', 'feeling', 'experience']"
The healthcare provider was excellent. I had a great experience. ,4,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
The healthcare provider was excellent. I had a great experience. ,1,Bad,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
The staff was caring and attentive. I couldn't be happier. ,4,Good,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
It was an average experience. Neither good nor bad. ,4,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
I'm very satisfied with the service I received. Highly recommended. ,1,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I'm very satisfied with the service I received. Highly recommended. ,5,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
It was an average experience. Neither good nor bad. ,4,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
I'm very satisfied with the service I received. Highly recommended. ,4,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
The service was disappointing. I won't be coming back. ,4,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I have mixed feelings about my experience. ,4,Good,mixed feeling experience,"['mixed', 'feeling', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,4,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The healthcare provider was excellent. I had a great experience. ,2,Bad,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
It was an average experience. Neither good nor bad. ,5,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
I had a bad experience with this healthcare provider. Avoid if possible. ,4,Good,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
The service was disappointing. I won't be coming back. ,5,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I have mixed feelings about my experience. ,3,Neutral,mixed feeling experience,"['mixed', 'feeling', 'experience']"
My experience was terrible. I would not recommend this provider. ,4,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
I have mixed feelings about my experience. ,5,Good,mixed feeling experience,"['mixed', 'feeling', 'experience']"
"The service was okay, but nothing exceptional. ",5,Good,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I had a bad experience with this healthcare provider. Avoid if possible. ,2,Bad,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The service was disappointing. I won't be coming back. ,5,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I had a bad experience with this healthcare provider. Avoid if possible. ,5,Good,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
The service was disappointing. I won't be coming back. ,2,Bad,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
My experience was terrible. I would not recommend this provider. ,2,Bad,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The service was disappointing. I won't be coming back. ,5,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
It was an average experience. Neither good nor bad. ,1,Bad,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
The staff was caring and attentive. I couldn't be happier. ,5,Good,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
"The service was okay, but nothing exceptional. ",5,Good,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
The service was disappointing. I won't be coming back. ,2,Bad,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
The staff was caring and attentive. I couldn't be happier. ,2,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
My experience was terrible. I would not recommend this provider. ,5,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
I'm very satisfied with the service I received. Highly recommended. ,5,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I'm very satisfied with the service I received. Highly recommended. ,5,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The staff was caring and attentive. I couldn't be happier. ,5,Good,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
The staff was caring and attentive. I couldn't be happier. ,5,Good,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I'm very satisfied with the service I received. Highly recommended. ,4,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The staff was caring and attentive. I couldn't be happier. ,1,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I had a bad experience with this healthcare provider. Avoid if possible. ,3,Neutral,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
The staff was caring and attentive. I couldn't be happier. ,1,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
The healthcare provider was excellent. I had a great experience. ,4,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The staff was caring and attentive. I couldn't be happier. ,5,Good,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I have mixed feelings about my experience. ,4,Good,mixed feeling experience,"['mixed', 'feeling', 'experience']"
My experience was terrible. I would not recommend this provider. ,5,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I have mixed feelings about my experience. ,4,Good,mixed feeling experience,"['mixed', 'feeling', 'experience']"
It was an average experience. Neither good nor bad. ,2,Bad,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
I'm very satisfied with the service I received. Highly recommended. ,4,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I'm very satisfied with the service I received. Highly recommended. ,4,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The staff was caring and attentive. I couldn't be happier. ,2,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I have mixed feelings about my experience. ,3,Neutral,mixed feeling experience,"['mixed', 'feeling', 'experience']"
The staff was caring and attentive. I couldn't be happier. ,1,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I have mixed feelings about my experience. ,5,Good,mixed feeling experience,"['mixed', 'feeling', 'experience']"
The healthcare provider was excellent. I had a great experience. ,4,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
It was an average experience. Neither good nor bad. ,5,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I'm very satisfied with the service I received. Highly recommended. ,5,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The healthcare provider was excellent. I had a great experience. ,2,Bad,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,5,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
My experience was terrible. I would not recommend this provider. ,1,Bad,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The healthcare provider was excellent. I had a great experience. ,1,Bad,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I had a bad experience with this healthcare provider. Avoid if possible. ,1,Bad,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
I'm very satisfied with the service I received. Highly recommended. ,1,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
"The service was okay, but nothing exceptional. ",1,Bad,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
I have mixed feelings about my experience. ,1,Bad,mixed feeling experience,"['mixed', 'feeling', 'experience']"
The staff was caring and attentive. I couldn't be happier. ,2,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I'm very satisfied with the service I received. Highly recommended. ,4,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I'm very satisfied with the service I received. Highly recommended. ,5,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
"The service was okay, but nothing exceptional. ",1,Bad,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
The staff was caring and attentive. I couldn't be happier. ,2,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I have mixed feelings about my experience. ,2,Bad,mixed feeling experience,"['mixed', 'feeling', 'experience']"
My experience was terrible. I would not recommend this provider. ,2,Bad,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
It was an average experience. Neither good nor bad. ,4,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
I'm very satisfied with the service I received. Highly recommended. ,5,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The service was disappointing. I won't be coming back. ,4,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I have mixed feelings about my experience. ,3,Neutral,mixed feeling experience,"['mixed', 'feeling', 'experience']"
The staff was caring and attentive. I couldn't be happier. ,2,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
It was an average experience. Neither good nor bad. ,1,Bad,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
I'm very satisfied with the service I received. Highly recommended. ,1,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
It was an average experience. Neither good nor bad. ,4,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
It was an average experience. Neither good nor bad. ,5,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
The healthcare provider was excellent. I had a great experience. ,4,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,1,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I'm very satisfied with the service I received. Highly recommended. ,5,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I'm very satisfied with the service I received. Highly recommended. ,5,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
I had a bad experience with this healthcare provider. Avoid if possible. ,1,Bad,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
My experience was terrible. I would not recommend this provider. ,3,Neutral,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
I have mixed feelings about my experience. ,1,Bad,mixed feeling experience,"['mixed', 'feeling', 'experience']"
The service was disappointing. I won't be coming back. ,5,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
It was an average experience. Neither good nor bad. ,3,Neutral,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
My experience was terrible. I would not recommend this provider. ,3,Neutral,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
I'm very satisfied with the service I received. Highly recommended. ,1,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
It was an average experience. Neither good nor bad. ,5,Good,average experience neither good bad,"['average', 'experience', 'neither', 'good', 'bad']"
I have mixed feelings about my experience. ,4,Good,mixed feeling experience,"['mixed', 'feeling', 'experience']"
The healthcare provider was excellent. I had a great experience. ,5,Good,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
"The service was okay, but nothing exceptional. ",4,Good,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
"The service was okay, but nothing exceptional. ",4,Good,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
I'm very satisfied with the service I received. Highly recommended. ,3,Neutral,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
My experience was terrible. I would not recommend this provider. ,3,Neutral,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
My experience was terrible. I would not recommend this provider. ,4,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The healthcare provider was excellent. I had a great experience. ,3,Neutral,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
The healthcare provider was excellent. I had a great experience. ,3,Neutral,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
I had a bad experience with this healthcare provider. Avoid if possible. ,2,Bad,bad experience healthcare provider avoid possible,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']"
I have mixed feelings about my experience. ,5,Good,mixed feeling experience,"['mixed', 'feeling', 'experience']"
My experience was terrible. I would not recommend this provider. ,5,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The staff was caring and attentive. I couldn't be happier. ,2,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
My experience was terrible. I would not recommend this provider. ,4,Good,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The healthcare provider was excellent. I had a great experience. ,1,Bad,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
The service was disappointing. I won't be coming back. ,1,Bad,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
"The service was okay, but nothing exceptional. ",1,Bad,service okay nothing exceptional,"['service', 'okay', 'nothing', 'exceptional']"
I'm very satisfied with the service I received. Highly recommended. ,2,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
My experience was terrible. I would not recommend this provider. ,2,Bad,experience terrible would not recommend provider,"['experience', 'terrible', 'would', 'not', 'recommend', 'provider']"
The healthcare provider was excellent. I had a great experience. ,3,Neutral,healthcare provider excellent great experience,"['healthcare', 'provider', 'excellent', 'great', 'experience']"
The staff was caring and attentive. I couldn't be happier. ,1,Bad,staff care attentive could not happy,"['staff', 'care', 'attentive', 'could', 'not', 'happy']"
I'm very satisfied with the service I received. Highly recommended. ,4,Good,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
The service was disappointing. I won't be coming back. ,4,Good,service disappointing not come back,"['service', 'disappointing', 'not', 'come', 'back']"
I have mixed feelings about my experience. ,1,Bad,mixed feeling experience,"['mixed', 'feeling', 'experience']"
I'm very satisfied with the service I received. Highly recommended. ,1,Bad,satisfied service receive highly recommend,"['satisfied', 'service', 'receive', 'highly', 'recommend']"
